epoch,train_loss,valid_loss
1,364.05552379572504,245.6676567797391
2,123.87970064619036,138.70001646797613
3,93.37498700660124,85.99289527749116
4,76.95929203822871,115.98468455188679
5,67.79172180338759,96.51072030697229
6,56.959369189844274,65.28564481915168
7,50.21365759000282,59.050531869564416
8,45.30805280249969,87.84273543447819
9,48.3526122863525,61.15235779960201
10,36.13687987996039,49.44598031673791
11,41.57860535760429,55.75857037238355
12,34.89196007961584,41.50864419037441
13,30.500467367134043,38.27899731330152
14,29.44969420286619,47.60024889100273
15,32.83679352392342,40.49521377851378
16,29.2724864221224,46.1691880136166
17,26.073694007832792,37.22339445869878
18,28.104559299687995,43.91816953263193
19,27.671156022004354,48.28817311412883
20,25.96050295326834,40.28046886516067
21,24.57633438823379,37.99536138570534
22,26.77566125714413,35.257596084306826
23,23.466741112045675,48.352730977760174
24,22.37487545599129,34.302708291107756
25,18.767611605207495,41.139011368661556
